tu	cum_src	srcbytes	onl_tu_wire	ceil_tu_wire	cum_onl_wire	cum_ceil_wire	onl_tu_tok	ceil_tu_tok	cum_onl_tok	cum_ceil_tok	blocks	pairs
43	249144708	6811262	48646	45799	2795625	2761930	4997	4238	227850	99239	13664	112782
44	256767287	7622579	66044	59379	2861669	2821309	5913	4310	233763	103549	13824	117180
45	263371078	6603791	44933	43487	2906602	2864796	3903	3111	237666	106660	13900	120309
46	269012288	5641210	18652	17570	2925254	2882366	905	409	238571	107069	13992	120727
47	276516590	7504302	47968	45773	2973222	2928139	5028	3730	243599	110799	14414	124309
48	280354575	3837985	7204	6594	2980426	2934733	848	564	244447	111363	14432	124784
49	287173310	6818735	21894	21862	3002320	2956595	2541	1630	246988	112993	14517	126426
50	294349693	7176383	20394	15968	3022714	2972563	2602	1489	249590	114482	14638	128007
51	294373589	23896	367	252	3023081	2972815	53	8	249643	114490	14639	128022
52	302307318	7933729	78257	76431	3101338	3049246	7416	6321	257059	120811	14731	134229
53	308853125	6545807	16684	15835	3118022	3065081	2119	1288	259178	122099	14809	135366
54	318099600	9246475	194022	190543	3312044	3255624	18165	16858	277343	138957	14863	152080
55	325988881	7889281	78035	75001	3390079	3330625	7390	6490	284733	145447	15015	158410
56	333280871	7291990	27796	24863	3417875	3355488	3178	2319	287911	147766	15216	160641
57	340299660	7018789	5237	5990	3423112	3361478	1130	151	289041	147917	15291	160936
58	347975503	7675843	53722	51470	3476834	3412948	5394	4708	294435	152625	15339	165398
59	355869154	7893651	75223	74966	3552057	3487914	6964	6184	301399	158809	15573	171414
60	363629283	7760129	60350	56397	3612407	3544311	5712	4860	307111	163669	15640	176088
61	372459148	8829865	130927	130138	3743334	3674449	12974	12260	320085	175929	16014	187872
62	379488612	7029464	5630	3689	3748964	3678138	988	259	321073	176188	16055	188196
63	386799557	7310945	34611	32592	3783575	3710730	2876	2395	323949	178583	16134	190416
64	394110799	7311242	28946	26075	3812521	3736805	2904	2238	326853	180821	16210	192740
65	404824586	10713787	324118	313043	4136639	4049848	27957	27361	354810	208182	16252	220024
66	411971408	7146822	14688	12882	4151327	4062730	1682	1080	356492	209262	16291	221157
67	418996104	7024696	5103	4847	4156430	4067577	800	486	357292	209748	16409	221452
68	428896127	9900023	252001	258256	4408431	4325833	23295	22926	380587	232674	16437	244355
69	435978443	7082316	10163	8667	4418594	4334500	1155	657	381742	233331	16504	245050
70	444108782	8130339	97883	96998	4516477	4431498	8649	8376	390391	241707	16529	253210
71	451227005	7118223	13111	11570	4529588	4443068	1362	916	391753	242623	16596	254183
72	457616125	6389120	22778	22778	4552366	4465846	1828	1635	393581	244258	16615	255666
73	464678826	7062701	6444	5010	4558810	4470856	889	484	394470	244742	16672	256221
74	472131781	7452955	32263	31778	4591073	4502634	3231	3163	397701	247905	16707	258978
75	482164821	10033040	240122	239358	4831195	4741992	22975	22715	420676	270620	16735	281245
76	489134945	6970124	10211	11961	4841406	4753953	930	535	421606	271155	16797	281628
77	497194536	8059591	80028	78726	4921434	4832679	9796	9438	431402	280593	16818	290864
78	504349244	7154708	16737	16118	4938171	4848797	1514	1324	432916	281917	16854	291978
79	512010065	7660821	48637	48584	4986808	4897381	4754	4583	437670	286500	16865	296417
80	516111451	4101386	26698	26107	5013506	4923488	2772	2581	440442	289081	16881	298928
81	523269154	7157703	15250	14195	5028756	4937683	1514	1214	441956	290295	16904	300179
82	530452580	7183426	19470	18866	5048226	4956549	1688	1509	443644	291804	16933	301625
83	537788104	7335524	26331	25240	5074557	4981789	2734	2454	446378	294258	16949	304109
84	545124754	7336650	31338	30889	5105895	5012678	2683	2544	449061	296802	16974	306571
85	552181236	7056482	7419	6618	5113314	5019296	629	384	449690	297186	17014	306982
86	559937937	7756701	65247	65617	5178561	5084913	6091	5930	455781	303116	17030	312815
87	567998124	8060187	84426	82855	5262987	5167768	7743	7494	463524	310610	17056	320292
88	576532608	8534484	121654	120799	5384641	5288567	12018	11815	475542	322425	17078	332135
89	583657044	7124436	12793	12374	5397434	5300941	1198	1080	476740	323505	17093	333044
90	590922851	7265807	18719	18015	5416153	5318956	1889	1705	478629	325210	17104	334752
91	598733487	7810636	61384	61160	5477537	5380116	6056	5933	484685	331143	17120	340400
92	606318424	7584937	51559	50927	5529096	5431043	4816	4643	489501	335786	17133	345056
93	613533176	7214752	14090	13717	5543186	5444760	1518	1413	491019	337199	17160	346350
94	620887171	7353995	28939	28791	5572125	5473551	2587	2572	493606	339771	17176	348750
95	628105846	7218675	19116	18580	5591241	5492131	1760	1611	495366	341382	17206	350372
96	637527089	9421243	234561	228840	5825802	5720971	19653	19411	515019	360793	17225	369662
97	645290242	7763153	55056	54818	5880858	5775789	5319	5248	520338	366041	17234	374785
98	653377535	8087293	100973	100894	5981831	5876683	8724	8708	529062	374749	17240	383377
99	661567612	8190077	89839	89915	6071670	5966598	8571	8599	537633	383348	17249	391826
100	669183165	7615553	55279	56028	6126949	6022626	3975	3977	541608	387325	17265	395556
101	677703715	8520550	111903	110107	6238852	6132733	9433	9144	551041	396469	17330	404710
102	684923188	7219473	21045	21068	6259897	6153801	1749	1734	552790	398203	17342	406233
103	692148722	7225534	18764	18381	6278661	6172182	1579	1482	554369	399685	17348	407727
104	699421144	7272422	27115	27581	6305776	6199763	2254	2342	556623	402027	17356	409821
105	702583497	3162353	2667	2369	6308443	6202132	431	256	557054	402283	17423	410014
106	709666724	7083227	10488	10191	6318931	6212323	889	713	557943	402996	17439	410661
107	716533874	6867150	27198	26512	6346129	6238835	2660	2447	560603	405443	17463	412918
108	716557686	23812	346	245	6346475	6239080	51	8	560654	405451	17463	412927
109	722337893	5780207	18700	19062	6365175	6258142	1694	1560	562348	407011	17477	414440
110	728539669	6201776	5901	5530	6371076	6263672	829	648	563177	407659	17488	414924
111	736705996	8166327	118326	114796	6489402	6378468	9747	9779	572924	417438	17522	424301
112	739716080	3010084	2061	2455	6491463	6380923	285	218	573209	417656	17530	424446
113	747571447	7855367	62771	60434	6554234	6441357	6230	6204	579439	423860	17539	430570
114	751007248	3435801	2382	2449	6556616	6443806	303	245	579742	424105	17547	430703
115	759455288	8448040	106463	106339	6663079	6550145	9970	9961	589712	434066	17560	440436
116	768310383	8855095	156470	157818	6819549	6707963	13172	13361	602884	447427	17584	453409
117	772750762	4440379	12309	12094	6831858	6720057	1120	999	604004	448426	17594	454327
118	779927990	7177228	18231	18114	6850089	6738171	1329	1336	605333	449762	17622	455496
119	786233272	6305282	12553	12326	6862642	6750497	1774	1639	607107	451401	17651	456898
120	789420032	3186760	3422	3375	6866064	6753872	344	328	607451	451729	17665	457065
121	794963983	5543951	8538	8455	6874602	6762327	939	831	608390	452560	17671	457826
122	802294203	7330220	27690	27691	6902292	6790018	2288	2305	610678	454865	17675	460048
123	809358760	7064557	19355	17457	6921647	6807475	1534	1268	612212	456133	17694	461225
124	815826223	6467463	11976	10311	6933623	6817786	1139	754	613351	456887	17714	461937
125	822883295	7057072	9507	9951	6943130	6827737	686	793	614037	457680	17732	462429
126	827673641	4790346	42567	42543	6985697	6870280	3757	3652	617794	461332	17746	465963
127	831434892	3761251	3873	3711	6989570	6873991	353	303	618147	461635	17754	466180
128	835381939	3947047	11017	11351	7000587	6885342	1355	1209	619502	462844	17836	467232
129	842812380	7430441	35154	35068	7035741	6920410	3158	3168	622660	466012	17847	470274
130	848246156	5433776	32820	32961	7068561	6953371	2078	2018	624738	468030	17872	472119
131	852622282	4376126	10807	10580	7079368	6963951	1295	1241	626033	469271	17885	473185
132	855630220	3007938	1993	1624	7081361	6965575	244	185	626277	469456	17898	473320
133	855654056	23836	378	282	7081739	6965857	46	8	626323	469464	17912	473327
134	861935694	6281638	12203	11717	7093942	6977574	1386	1192	627709	470656	17932	474375
135	869416009	7480315	34537	34475	7128479	7012049	2846	2727	630555	473383	17948	476781
136	876990669	7574660	52429	52217	7180908	7064266	4678	4640	635233	478023	17958	481257
137	883629731	6639062	38847	37927	7219755	7102193	3933	3710	639166	481733	17973	484955
138	891575546	7945815	83057	80095	7302812	7182288	6673	6397	645839	488130	18028	491095
139	895299636	3724090	8779	8807	7311591	7191095	854	814	646693	488944	18044	491789
140	899142659	3843023	9542	9666	7321133	7200761	1018	979	647711	489923	18053	492570
141	906143518	7000859	6298	6260	7327431	7207021	505	512	648216	490435	18067	492914
142	913039966	6896448	30299	30820	7357730	7237841	2913	2896	651129	493331	18078	495567
143	919419586	6379620	13014	13463	7370744	7251304	1503	1426	652632	494757	18092	496811
144	925682917	6263331	4411	4238	7375155	7255542	538	425	653170	495182	18108	497123
145	932771185	7088268	20110	20334	7395265	7275876	1669	1762	654839	496944	18114	498621
146	936406608	3635423	3990	3645	7399255	7279521	464	339	655303	497283	18163	498902
147	943810956	7404348	31191	30744	7430446	7310265	2933	2825	658236	500108	18165	501759
148	948128150	4317194	46164	45957	7476610	7356222	5148	5079	663384	505187	18215	506756
149	955232217	7104067	11696	12244	7488306	7368466	876	1038	664260	506225	18224	507491
150	963589189	8356972	87859	86617	7576165	7455083	8143	8238	672403	514463	18293	515433
151	970844542	7255353	17098	17940	7593263	7473023	1634	1703	674037	516166	18305	516895
152	977906046	7061504	7691	7933	7600954	7480956	625	735	674662	516901	18318	517384
153	983685850	5779804	19061	19323	7620015	7500279	1080	1069	675742	517970	18335	518303
154	992581621	8895771	221505	212882	7841520	7713161	20276	20197	696018	538167	18357	538183
155	999021657	6440036	22524	22066	7864044	7735227	2063	1929	698081	540096	18396	540021
156	1005518186	6496529	11561	11087	7875605	7746314	1017	749	699098	540845	18416	540464
157	1011426096	5907910	29302	28910	7904907	7775224	2474	2433	701572	543278	18426	542760
158	1018545775	7119679	11535	11660	7916442	7786884	1123	1156	702695	544434	18442	543620
159	1025778663	7232888	25020	24994	7941462	7811878	1437	1432	704132	545866	18465	544687
160	1033286027	7507364	51671	51923	7993133	7863801	4151	4268	708283	550134	18475	548715
161	1040428216	7142189	27581	26941	8020714	7890742	1183	766	709466	550900	18494	549419
162	1047916580	7488364	30715	29725	8051429	7920467	3279	2876	712745	553776	18519	551918
163	1055922382	8005802	82902	82500	8134331	8002967	7567	7457	720312	561233	18522	559391
164	1055946140	23758	319	236	8134650	8003203	35	8	720347	561241	18527	559399
165	1062302728	6356588	17386	17373	8152036	8020576	1706	1581	722053	562822	18569	560839
166	1065952533	3649805	3734	3730	8155770	8024306	411	442	722464	563264	18580	561142
167	1073092013	7139480	11870	11685	8167640	8035991	1109	1054	723573	564318	18590	562052
168	1080544211	7452198	14762	14719	8182402	8050710	2200	2128	725773	566446	18774	563019
169	1087718133	7173922	12765	13066	8195167	8063776	1408	1463	727181	567909	18793	564221
170	1094878866	7160733	15462	15643	8210629	8079419	1286	1308	728467	569217	18799	565322
171	1101992816	7113950	12267	12261	8222896	8091680	943	957	729410	570174	18827	566082
172	1109224196	7231380	21337	21544	8244233	8113224	2029	2066	731439	572240	18835	567990
173	1116243853	7019657	3589	3157	8247822	8116381	425	456	731864	572696	18853	568222
174	1121427499	5183646	35397	35061	8283219	8151442	1500	1446	733364	574142	18861	569511
175	1123590368	2162869	1377	1232	8284596	8152674	96	44	733460	574186	18864	569544
176	1126732492	3142124	3990	3612	8288586	8156286	369	261	733829	574447	18875	569697
177	1128955567	2223075	1439	1507	8290025	8157793	89	135	733918	574582	18885	569728
178	1131571106	2615539	1365	1348	8291390	8159141	137	138	734055	574720	18890	569788
179	1135552508	3981402	2454	2258	8293844	8161399	339	240	734394	574960	18901	569903
180	1138403240	2850732	2650	2424	8296494	8163823	170	103	734564	575063	18911	569990
181	1141241817	2838577	2304	2206	8298798	8166029	187	151	734751	575214	18922	570072
182	1146121419	4879602	44154	43923	8342952	8209952	1420	1361	736171	576575	18950	571207
183	1150966959	4845540	6171	6165	8349123	8216117	235	246	736406	576821	18960	571327
184	1155656798	4689839	9182	9008	8358305	8225125	422	403	736828	577224	19010	571563
185	1160313137	4656339	9747	9523	8368052	8234648	357	297	737185	577521	19015	571809
186	1162936413	2623276	570	724	8368622	8235372	102	103	737287	577624	19020	571831
187	1166931066	3994653	2039	1882	8370661	8237254	199	135	737486	577759	19029	571862
188	1171473913	4542847	2159	2126	8372820	8239380	162	139	737648	577898	19041	571909
189	1177745538	6271625	5507	5039	8378327	8244419	285	386	737933	578284	19055	572077
190	1180577015	2831477	1402	973	8379729	8245392	393	142	738326	578426	19065	572131
191	1183359229	2782214	880	758	8380609	8246150	110	70	738436	578496	19076	572173
192	1189224446	5865217	2512	2360	8383121	8248510	296	241	738732	578737	19091	572289
193	1192014122	2789676	1906	1863	8385027	8250373	159	145	738891	578882	19099	572352
194	1197973511	5959389	8227	8206	8393254	8258579	595	611	739486	579493	19115	572681
195	1203000321	5026810	3859	3845	8397113	8262424	298	304	739784	579797	19119	572863
196	1205787508	2787187	1381	1440	8398494	8263864	143	147	739927	579944	19129	572897
197	1208459809	2672301	1366	1336	8399860	8265200	173	131	740100	580075	19133	572947
198	1214409105	5949296	11557	11532	8411417	8276732	505	457	740605	580532	19152	573219
199	1219707624	5298519	9274	9172	8420691	8285904	449	438	741054	580970	19155	573516
200	1224557334	4849710	2542	2427	8423233	8288331	261	246	741315	581216	19163	573630
201	1229986463	5429129	3038	3102	8426271	8291433	415	376	741730	581592	19187	573745
202	1232769713	2783250	2119	2170	8428390	8293603	109	97	741839	581689	19189	573791
203	1237577459	4807746	2218	2196	8430608	8295799	156	150	741995	581839	19199	573846
204	1243008570	5431111	3261	3306	8433869	8299105	248	265	742243	582104	19208	573959
205	1248292171	5283601	11843	11551	8445712	8310656	674	570	742917	582674	19218	574392
206	1253432273	5140102	4298	4206	8450010	8314862	292	258	743209	582932	19231	574505
207	1258383843	4951570	1192	1235	8451202	8316097	137	142	743346	583074	19232	574559
208	1264358664	5974821	8831	9029	8460033	8325126	421	365	743767	583439	19254	574696
209	1268355247	3996583	112514	112170	8572547	8437296	682	597	744449	584036	19266	575098
210	1271190509	2835262	2906	2405	8575453	8439701	389	161	744838	584197	19269	575185
211	1277568891	6378382	24925	24500	8600378	8464201	696	563	745534	584760	19273	575614
212	1283466199	5897308	13454	13441	8613832	8477642	395	413	745929	585173	19281	575867
213	1289436240	5970041	19368	19269	8633200	8496911	483	464	746412	585637	19295	576198
214	1295927392	6491152	40135	40102	8673335	8537013	1059	1078	747471	586715	19340	576777
215	1301882870	5955478	9282	9289	8682617	8546302	378	396	747849	587111	19356	576950
216	1307803542	5920672	14940	14744	8697557	8561046	494	436	748343	587547	19368	577222
217	1313686901	5883359	8116	7953	8705673	8568999	355	308	748698	587855	19395	577359
218	1319562850	5875949	8794	8611	8714467	8577610	304	275	749002	588130	19412	577474
219	1325504994	5942144	17396	17303	8731863	8594913	450	430	749452	588560	19431	577726
220	1331674815	6169821	17959	17888	8749822	8612801	1009	994	750461	589554	19452	578424
221	1337608042	5933227	1365	1418	8751187	8614219	241	295	750702	589849	19474	578464
222	1340569309	2961267	1817	1672	8753004	8615891	158	86	750860	589935	19478	578501
223	1346505535	5936226	2314	2486	8755318	8618377	315	400	751175	590335	19491	578599
224	1352721601	6216066	1986	2108	8757304	8620485	170	195	751345	590530	19504	578635
225	1352722039	438	168	168	8757472	8620653	5	5	751350	590535	19504	578639
226	1358957006	6234967	6537	6981	8764009	8627634	194	373	751544	590908	19506	578761
227	1363265705	4308699	4109	4136	8768118	8631770	244	265	751788	591173	19510	578898
228	1369493479	6227774	4680	4698	8772798	8636468	150	158	751938	591331	19514	578959
229	1376302545	6809066	83677	82982	8856475	8719450	1742	1463	753680	592794	19539	580103
230	1382833138	6530593	55493	53404	8911968	8772854	1373	1121	755053	593915	19548	581248
231	1389077654	6244516	5173	5252	8917141	8778106	324	375	755377	594290	19568	581367
232	1395289200	6211546	2837	2949	8919978	8781055	190	204	755567	594494	19576	581447
233	1401569049	6279849	13551	14916	8933529	8795971	428	582	755995	595076	19590	581696
234	1407877350	6308301	6273	6131	8939802	8802102	249	183	756244	595259	19593	581758
235	1414300689	6423339	38579	38176	8978381	8840278	1156	982	757400	596241	19613	582432
236	1420590028	6289339	5464	5352	8983845	8845630	266	202	757666	596443	19626	582513
237	1426960785	6370757	17087	16915	9000932	8862545	417	364	758083	596807	19633	582760
238	1433380580	6419795	35346	35911	9036278	8898456	924	1132	759007	597939	19661	583508
239	1436333387	2952807	2097	2087	9038375	8900543	103	90	759110	598029	19666	583548
240	1442705121	6371734	19951	20021	9058326	8920564	578	638	759688	598667	19673	583965
241	1448941831	6236710	6561	6779	9064887	8927343	257	332	759945	598999	19679	584047
242	1454666804	5724973	3541	3670	9068428	8931013	107	172	760052	599171	19683	584081
243	1460956187	6289383	18027	18126	9086455	8949139	338	372	760390	599543	19686	584345
244	1467272018	6315831	21585	21401	9108040	8970540	606	522	760996	600065	19693	584672
245	1472630473	5358455	3205	3346	9111245	8973886	351	336	761347	600401	19707	584778
246	1478943853	6313380	15739	15584	9126984	8989470	664	595	762011	600996	19753	584990
247	1484628708	5684855	1852	2184	9128836	8991654	189	277	762200	601273	19758	585081
248	1490934683	6305975	11815	11912	9140651	9003566	614	574	762814	601847	19840	585378
249	1496877680	5942997	5627	5674	9146278	9009240	239	254	763053	602101	19860	585427
250	1503224934	6347254	24989	24468	9171267	9033708	764	540	763817	602641	19868	585755
251	1508392899	5167965	8275	8061	9179542	9041769	315	227	764132	602868	19876	585851
252	1509812997	1420098	1513	1607	9181055	9043376	129	144	764261	603012	19883	585908
253	1515308879	5495882	5000	5036	9186055	9048412	277	294	764538	603306	19893	586039
254	1516730385	1421506	506	502	9186561	9048914	52	31	764590	603337	19897	586064
255	1519515755	2785370	1345	1435	9187906	9050349	147	183	764737	603520	19899	586121
256	1525241597	5725842	23249	23515	9211155	9073864	538	613	765275	604133	19907	586505
257	1531511535	6269938	13607	14028	9224762	9087892	564	738	765839	604871	19917	586844
258	1537089360	5577825	9338	9411	9234100	9097303	411	441	766250	605312	19949	587079
259	1539302107	2212747	2331	2429	9236431	9099732	113	154	766363	605466	19960	587143
260	1544195944	4893837	2116	2008	9238547	9101740	120	89	766483	605555	19963	587184
261	1548417771	4221827	999	1076	9239546	9102816	141	171	766624	605726	19983	587200
262	1552620402	4202631	1677	1795	9241223	9104611	109	151	766733	605877	19988	587217
263	1558129518	5509116	6718	6580	9247941	9111191	306	289	767039	606166	20011	587399
264	1563272334	5142816	5052	5155	9252993	9116346	190	257	767229	606423	20021	587481
265	1569509767	6237433	9838	9493	9262831	9125839	471	298	767700	606721	20056	587554
266	1574917686	5407919	7915	7890	9270746	9133729	454	401	768154	607122	20065	587823
267	1577636551	2718865	971	884	9271717	9134613	161	165	768315	607287	20074	587868
268	1583135559	5499008	1624	1583	9273341	9136196	160	151	768475	607438	20080	587913
269	1588877759	5742200	11627	11327	9284968	9147523	490	356	768965	607794	20161	588077
270	1593186653	4308894	1142	1139	9286110	9148662	69	75	769034	607869	20169	588100
271	1598869060	5682407	1260	1606	9287370	9150268	158	286	769192	608155	20176	588148
272	1604891133	6022073	23323	23215	9310693	9173483	909	877	770101	609032	20190	588843
273	1610780436	5889303	12648	12915	9323341	9186398	321	431	770422	609463	20258	588950
274	1617131794	6351358	18369	17879	9341710	9204277	774	795	771196	610258	20272	589514
275	1623882717	6750923	90619	90852	9432329	9295129	2105	2128	773301	612386	20306	591361
276	1629758635	5875918	1979	2046	9434308	9297175	161	198	773462	612584	20318	591398
277	1632547720	2789085	2740	2895	9437048	9300070	155	204	773617	612788	20327	591470
278	1638406955	5859235	5022	5083	9442070	9305153	450	448	774067	613236	20346	591619
279	1644273414	5866459	5870	5912	9447940	9311065	170	234	774237	613470	20354	591699
280	1649280406	5006992	4894	5173	9452834	9316238	266	378	774503	613848	20358	591860
281	1655141093	5860687	3371	3490	9456205	9319728	156	211	774659	614059	20363	591935
282	1659973383	4832290	1745	1802	9457950	9321530	253	294	774912	614353	20375	592041
283	1665104499	5131116	7716	7718	9465666	9329248	282	290	775194	614643	20387	592147
284	1669377338	4272839	1121	1038	9466787	9330286	102	91	775296	614734	20395	592194
285	1670970756	1593418	1195	1140	9467982	9331426	134	131	775430	614865	20399	592236
286	1677374938	6404182	30349	30595	9498331	9362021	857	941	776287	615806	20411	592997
287	1679734266	2359328	2169	2236	9500500	9364257	115	161	776402	615967	20413	593067
288	1685611358	5877092	2126	2338	9502626	9366595	138	259	776540	616226	20419	593113
289	1691343048	5731690	10859	10802	9513485	9377397	520	525	777060	616751	20430	593491
290	1694295735	2952687	3805	3969	9517290	9381366	179	191	777239	616942	20470	593523
291	1699867653	5571918	12050	11955	9529340	9393321	497	529	777736	617471	20483	593812
292	1702813858	2946205	2560	2578	9531900	9395899	137	143	777873	617614	20491	593863
293	1707797200	4983342	8992	9012	9540892	9404911	225	240	778098	617854	20507	593986
294	1712685556	4888356	9778	9508	9550670	9414419	546	542	778644	618396	20514	594373
295	1718235041	5549485	3770	3809	9554440	9418228	342	364	778986	618760	20529	594478
296	1723025274	4790233	3668	3674	9558108	9421902	199	226	779185	618986	20549	594514
297	1725984365	2959091	3366	3399	9561474	9425301	91	104	779276	619090	20557	594542
298	1730938043	4953678	13528	13554	9575002	9438855	752	755	780028	619845	20573	594912
299	1733700497	2762454	2837	2836	9577839	9441691	149	193	780177	620038	20586	594958
300	1738569053	4868556	18444	18657	9596283	9460348	835	839	781012	620877	20592	595614
301	1742472472	3903419	9227	9132	9605510	9469480	308	264	781320	621141	20619	595748
302	1746607832	4135360	6979	6844	9612489	9476324	242	238	781562	621379	20621	595894
303	1752490383	5882551	6242	6347	9618731	9482671	272	338	781834	621717	20633	596015
304	1757934242	5443859	6709	6664	9625440	9489335	265	283	782099	622000	20637	596179
305	1762943113	5008871	9457	9515	9634897	9498850	274	289	782373	622289	20652	596365
306	1768814877	5871764	3874	3902	9638771	9502752	211	206	782584	622495	20660	596425
307	1773592168	4777291	1585	1667	9640356	9504419	131	165	782715	622660	20669	596456
308	1778738846	5146678	8604	8536	9648960	9512955	253	261	782968	622921	20680	596606
309	1783617975	4879129	2548	2606	9651508	9515561	136	158	783104	623079	20687	596675
310	1788394002	4776027	1335	1320	9652843	9516881	110	125	783214	623204	20689	596723
311	1793284411	4890409	3009	3071	9655852	9519952	136	155	783350	623359	20694	596762
312	1799507761	6223350	5305	5719	9661157	9525671	205	369	783555	623728	20701	596852
313	1804972407	5464646	8502	8605	9669659	9534276	311	355	783866	624083	20713	597005
314	1808032973	3060566	3935	4031	9673594	9538307	194	235	784060	624318	20718	597088
315	1810797132	2764159	1368	1412	9674962	9539719	152	194	784212	624512	20722	597155
316	1813485726	2688594	2099	2176	9677061	9541895	207	258	784419	624770	20727	597246
317	1816232388	2746662	2734	2845	9679795	9544740	181	223	784600	624993	20732	597300
318	1820652230	4419842	1115	977	9680910	9545717	173	124	784773	625117	20742	597353
319	1824351271	3699041	2042	1828	9682952	9547545	281	201	785054	625318	20761	597437
320	1826164324	1813053	581	494	9683533	9548039	56	39	785110	625357	20763	597460
321	1829159858	2995534	1459	1280	9684992	9549319	158	121	785268	625478	20780	597497
322	1831655147	2495289	1344	1552	9686336	9550871	146	202	785414	625680	20784	597545
323	1837330140	5674993	9301	9379	9695637	9560250	448	473	785862	626153	20805	597753
324	1842980520	5650380	4427	4440	9700064	9564690	349	387	786211	626540	20811	597856
325	1848682889	5702369	6959	6270	9707023	9570960	806	757	787017	627297	20818	598136
326	1854304291	5621402	4072	4138	9711095	9575098	179	209	787196	627506	20824	598212
327	1859924556	5620265	4813	5095	9715908	9580193	310	418	787506	627924	20829	598387
328	1866135897	6211341	2386	2548	9718294	9582741	199	280	787705	628204	20842	598463
329	1868783998	2648101	3762	3802	9722056	9586543	192	223	787897	628427	20855	598549
330	1871105523	2321525	2468	2445	9724524	9588988	144	166	788041	628593	20864	598586
331	1877312740	6207217	1126	1750	9725650	9590738	139	415	788180	629008	20873	598641
332	1881983707	4670967	1322	1278	9726972	9592016	126	120	788306	629128	20878	598693
333	1886207961	4224254	1751	1961	9728723	9593977	157	210	788463	629338	20886	598734
334	1890570252	4362291	9078	9282	9737801	9603259	1675	777	790138	630115	20908	599159
